Alior Bank; ALR
Asseco Poland; ACP
BZWBK; BZW
NG2; CCC
CD Projekt; CDR
Cyfrowy Polsat; CPS
Enea; ENA
Energa; ENG
Eurocash; EUR
Grupa Azoty; ATT
Globe Trade Centre; GTC
ING Bank Śląski; ING
Jastrzębska Spółka Węglowa; JSW
Kernel Holding; KER
KGHM Polska Miedź; KGH
FW KRUK; KRU
Lotos; LTS
LPP; LPP
mBank; MBK
Bank Millennium; MIL
Orange Polska; OPL
Bank Pekao; PEO
Polska Grupa Energetyczna; PGE
Polskie Górnictwo Naftowe i Gazownictwo; PGN
PKN Orlen; PKN
PKO Bank Polski; PKO
PKP Cargo; PKP
Play; PLY
PZU SA; PZU
Tauron; TPE
